,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Nikolskoye,100,RU,1587697956,80,59.7,30.79,35.6,4.47
1,Astoria,40,US,1587697956,76,46.19,-123.83,52.0,5.82
2,Debre Tabor,27,ET,1587697956,23,11.85,38.02,56.48,3.24
3,Rikitea,24,PF,1587697949,77,-23.12,-134.97,76.01,12.17
4,Butaritari,100,KI,1587697956,76,3.07,172.79,83.7,15.52
5,Faanui,8,PF,1587697957,70,-16.48,-151.75,80.74,16.15
6,Chui,36,UY,1587697957,91,-33.7,-53.46,65.21,11.7
7,Tautira,12,PF,1587697957,52,-17.73,-149.15,87.8,5.82
8,George Town,20,MY,1587697793,78,5.41,100.34,86.0,4.7
9,Fort-Shevchenko,97,KZ,1587697957,51,44.51,50.26,48.78,6.06
10,Constitución,100,CL,1587697958,83,-35.33,-72.42,57.42,18.14
11,Jamestown,40,US,1587697958,61,42.1,-79.24,50.0,4.7
12,Ostrovnoy,100,RU,1587697958,97,68.05,39.51,27.55,22.53
13,Puerto Ayora,94,EC,1587697958,84,-0.74,-90.35,79.0,5.01
14,Chokurdakh,0,RU,1587698146,96,70.63,147.92,25.74,7.96
15,Salalah,20,OM,1587697925,83,17.02,54.09,82.4,3.36
16,Witbank,0,ZA,1587698146,48,-25.87,29.23,51.15,2.15
17,Albany,75,US,1587698102,45,42.6,-73.97,44.6,3.36
18,Sangamner,0,IN,1587697956,28,19.57,74.22,87.19,11.83
19,Ponta do Sol,20,PT,1587698146,63,32.67,-17.1,60.8,9.17
20,New Norfolk,99,AU,1587698147,67,-42.78,147.06,63.0,8.01
21,Sukumo,2,JP,1587698147,45,32.93,132.73,56.43,13.24
22,Saint-François,8,FR,1587698147,87,46.42,3.91,48.99,3.36
23,Busselton,26,AU,1587698148,50,-33.65,115.33,70.0,12.44
24,Deputatsky,13,RU,1587698148,89,69.3,139.9,24.22,3.42
25,Saint George,1,US,1587698042,25,37.1,-113.58,75.2,5.82
26,Beringovskiy,6,RU,1587698138,94,63.05,179.32,21.11,10.22
27,Villa María,100,AR,1587698148,72,-32.41,-63.24,70.0,1.99
28,Yangi Marg`ilon,83,UZ,1587698149,33,40.43,71.72,71.6,1.63
29,Mahibadhoo,100,MV,1587697861,69,3.78,72.97,83.95,3.62
30,Kapaa,40,US,1587698149,69,22.08,-159.32,80.6,11.41
31,Vestmannaeyjar,33,IS,1587698149,89,63.44,-20.27,45.01,22.21
32,Werda,0,BW,1587698150,38,-25.27,23.28,63.43,9.28
33,Camacha,40,PT,1587698124,67,33.08,-16.33,60.8,13.87
34,Tateyama,20,JP,1587698151,54,34.98,139.87,61.0,10.29
35,Punta Arenas,40,CL,1587698142,69,-53.15,-70.92,37.4,8.05
36,Alofi,40,NU,1587698151,70,-19.06,-169.92,87.8,8.05
